system,learner_id,day,predictions,mae,rmse
improved-full,L039,all,16,0.22009851624999993,0.254006920550953
improved-full,L054,all,16,0.323859574375,0.3448165069953364
improved-full,L057,all,16,0.33159672375000004,0.37412256313436504
improved-full,L066,all,16,0.2867385224999999,0.33956425547971086
improved-full,L069,all,16,0.26656323,0.30918729639429554
improved-full,L070,all,16,0.19321030875,0.22260052876820358
improved-full,L076,all,16,0.21443042625,0.23926578304856255
improved-full,L079,all,16,0.23726724624999995,0.2722118041310744
improved-full,L082,all,16,0.2084049725,0.24487350001192282
improved-full,L086,all,16,0.329954354375,0.35147360928307997
improved-full,L089,all,16,0.139504780625,0.19774986761144775
improved-full,L091,all,16,0.26018225687499996,0.3351785404306831
improved-full,L094,all,16,0.25777449124999996,0.3061534177943481
improved-full,L095,all,16,0.23941902874999993,0.28106934180876936
improved-full,L096,all,16,0.275674355625,0.29179804092060097
improved-full,L099,all,16,0.15950757374999996,0.19707900095246458
improved-full,L102,all,16,0.10067017937500003,0.11695131503078095
improved-full,L111,all,16,0.2489029575,0.3078465720511379
improved-full,L122,all,16,0.19394469625,0.22196605030068967
improved-full,L126,all,16,0.19120031374999996,0.22281178541834448
improved-full,L128,all,16,0.2101496075,0.26692538012371636
improved-full,L134,all,16,0.16496081124999998,0.19080957636711746
improved-full,L143,all,16,0.21400527375,0.23493610919456287
improved-full,L152,all,16,0.26280309125,0.3178851520686599
improved-full,L154,all,16,0.23242063499999996,0.2858336487403944
improved-full,L164,all,16,0.23616815187499995,0.2872897206405301
improved-full,L165,all,16,0.15706245437499994,0.20143272235654108
improved-full,L171,all,16,0.215449940625,0.2589926114440974
improved-full,L172,all,16,0.16662753062499996,0.20278988665236183
improved-full,L185,all,16,0.367787848125,0.3841987564923905
improved-full,L187,all,16,0.25546733125,0.27704786026206946
improved-full,L193,all,16,0.196231825625,0.2530126828983681
improved-full,L206,all,16,0.268455123125,0.30035000671515866
improved-full,L208,all,16,0.14339301625,0.181340883840458
improved-full,L211,all,16,0.22740928937500002,0.2601521860295698
improved-full,L212,all,16,0.31877587187499995,0.34667213518438283
improved-full,L235,all,16,0.195548386875,0.2375347812957786
improved-full,L236,all,16,0.20757398124999993,0.24843866198325995
improved-full,L239,all,16,0.17207481875,0.2070652634891279
